id,question 1,question 2,label
30,Sở y tế có nhiệm vụ và quyền hạn gì đối với vấn đề an toàn thực phẩm?,Trách nhiệm của Sở y tế trong vấn đề an toàn thực phẩm,1
31,Sở y tế có nhiệm vụ và quyền hạn gì trong việc đào tạo nguồn nhân lực y tế?,Trách nhiệm của Sở y tế trong vấn đề đào tạo nguồn nhân lực y tế,1
32,Lãnh đạo của Sở Y tế được quy định như thế nào?,Điều kiện để có thể làm lãnh đạo Sở y tế,1
33,Chậm thực hiện nghĩa vụ dân sự theo Bộ luật dân sự 2005 được quy định như thế nào?,Chậm thực hiện nghĩa vụ dân sự theo bộ luật dân sự 2005 thì sẽ phải mắc những vấn đề ì,1
34,Vận chuyển tài liệu mật trong quân đội được quy định như thế nào?,Những quy định cần biết khi vận chuyển tài liệu mật trong quân đội?,1
35,Phạm vi đại diện theo Bộ luật dân sự 2005 được quy định ra sao?,Những quy định cần biết trong việc phạm vi đại diện theo như bộ luật dân sự 1995,1
36,Thẻ bảo hiểm y tế được quy định như thế nào?,Những quy định cần biết khi sử dụng thẻ bảo hiểm y tế,1
37,Phạm vi thẩm quyền đại diện theo Bộ luật dân sự 1995 được quy định ra sao?,Quy định trong phạm vi thẩm quyền đại diện theo bộ luật dân sự 1995,1
38,Tài liệu mật trong quân đội được quản lý như thế nào?,Hình thức quản lý tài liệu mật trong quân đội là gì,1
39,Tài liệu mật trong quân đội được thu hồi trong những trường hợp nào?,Định nghĩa tài liệu mật trong quân đội,0
40,Thời điểm thẻ bảo hiểm y tế có giá trị sử dụng được quy định như thế nào?,Quy định về giá trị thời gian sử dụng của thẻ bảo hiểm y tế,1
41,Cung cấp dịch vụ viễn thông có một chỉ tiêu chất lượng thấp hơn quy định bị phạt bao nhiêu?,Cung cấp dịch vụ viễn thông có chất lượng cao hơn so với quy định thì sao,0
42,"Không công bố, kiểm tra, kiểm soát chất lượng mạng theo quy định của cơ quan nhà nước có thẩm quyền bị phạt bao nhiêu?","Mức phạt cho hành vi không công bố, kiểm tra, kiểm soát chất lượng mạng theo quy định của nhà nước là bao nhiêu",1
43,Các loại tài liệu nghiệp vụ trong quân đội nào phải được tiến hành đăng ký?,Tài liệu nghiệp vụ trong quân đội là gì,0
44,Những loại tài liệu mật trong quân đội nào thuộc diện bị hủy?,Loại tài liệu mật nào trong quân đội thì cần phải bị huỷ,1
45,"Người phổ biến, sử dụng thông tin mật trong quân đội có trách nhiệm gì?","Trách nhiệm của người phổ biến, sử dụng thông tin mật trong quân đội",1
46,Hồ sơ cấp thẻ bảo hiểm y tế bao gồm các loại giấy tờ nào?,Những lợi ích khi sử dụng bảo hiểm y tế,0
47,Tổ chức kiểm định chất lượng giáo dục có nhiệm vụ được quy định như thế nào?,Nhiệm vụ của tổ chức kiểm định chất lượng giáo dục,1
48,Trách nhiệm của tổ chức kiểm định chất lượng giáo dục là gì?,Tổ chức kiểm định giáo dục cần phải làm những gì,1
49,Quyền hạn của tổ chức kiểm định chất lượng giáo dục là gì?,Tổ chức kiểm định giáo dục có thể quyết định những gì,1
50,Nguồn tài chính của tổ chức kiểm định chất lượng giáo dục do Nhà nước thành lập được quy định như thế nào?,Nhà nước quy định nguồn tài chính cho tổ chức kiểm định giáo dục như thế nào,1
51,Quyền hạn và nghĩa vụ tài chính của tổ chức kiểm định chất lượng giáo dục là gì?,Tổ chức kiểm định giáo dục có trách nhiệm gì với nguồn tài chính và được quyền quyết định gì,1
52,Thế nào là quan trắc công trình đường sắt,Quan trắc công trình đường sắt là gì,1
53,Mức phạt tiền với hành vi chế biến thủy sản có xuất xứ từ cơ sở nuôi cấm thu hoạch,Chế biến thuỷ sản có xuất xứ từ cơ sở nuôi cấm thu hoạch là gì,0
54,Thế nào là sửa chữa công trình đường sắt?,Định nghĩa sửa chữa công trình đường sắt,1
55,Quyền của người nhờ thu hối phiếu là gì?,Người nhờ thu hối phiếu có những quyền hạn gì,1
56,Mức phạt tiền với hành vi thuê người khác vận chuyển thủy sản có tạp chất,Thuê người khác vận chuyển thuỷ sản có tạp chất bị phạt bao nhiêu,1
57,Mức phạt tiền đối với hành vi thu gom thủy sản có tạp chất là bao nhiêu?,Thu gom thuỷ sản có tạp chất bị phạt bao nhiêu,1
58,Đường ống công nghệ là gì?,Định nghĩa đường ống công nghệ,1
59,Hồ sơ quản lý hành lang an toàn giao thông đường sắt gồm những gì?,Quy định của hành lang an toàn giao thông đường sắt,0
60,Hồ sơ bảo trì công trình đường sắt,Giấy tờ cần thiết cho việc bảo trì công trình đường sắt,1
61,"Tuyên truyền, giáo dục phòng, chống mại dâm trong trường học được quy định như thế nào?",Giáo dục về  phòng chống mại dâm trong trường học,1
62,Người nộp lệ phí môn bài bao gồm những ai?,Lệ phí môn bài là gì,0
63,"Trách nhiệm của cá nhân trong phòng, chống mại dâm được quy định như thế nào?",Cá nhân trong phòng chống mại dâm có trách nhiệm là gì,1
64,Tòa án ra quyết định định giá tài sản và thành lập Hội đồng định giá trong tố tụng dân sự trong các trường hợp nào?,Quy định định giá tài sản và thành lập hội đồng định giá trong tố tụng dân sự,0
65,"Mỗi gia đình có trách nhiệm gì trong việc phòng, chống mại dâm?",Trách nhiệm của mỗi gia đình trong phòng chống mại dâm,1
66,Nguyên tắc giao dịch văn bản tố tụng bằng phương tiện điện tử,Quy định của cá nhân trong giao dịch văn bản tố tụng bằng phương tiện điện tử,1
67,Thủ tục đăng ký gửi và nhận thông điệp dữ liệu điện tử với Tòa án,Quy trình đăng ký gửi và nhận thông điệp dữ liệu điện tử với Toà án,1
68,Phương thức đóng bảo hiểm y tế đối với người có công với cách mạng,Các cách để đóng bảo hiểm y tế đối với người có công với cách mạng,1
69,"Việc bán, cho thuê phim được quy định như thế nào?","Quy định trong việc cho thuê, bán phim",1
70,Gửi ngân quỹ nhà nước tạm thời nhàn rỗi tại ngân hàng thương mại có kỳ hạn được pháp luật quy định như thế nào?,Quy định trong việc gửi ngân quỹ nhà nhước tạm thời tại ngân hàng thương mại có kỳ hạn,1
71,"Việc thuê máy móc, thiết bị tại cơ quan, tổ chức, đơn vị sự nghiệp công lập được quy định như thế nào?","Quy định trong việc thuê máy móc, thiết bị tại cơ quan, tổ chức, đơn vị công lập",1
72,"Việc khoán kinh phí sử dụng máy móc, thiết bị văn phòng phổ biến tại cơ quan, tổ chức, đơn vị sự nghiệp công lập quy định thế nào?",Khoán kinh phí sử dụng máy móc thiết bị văn phòng phổ biến tại cơ quan tổ chức công lập là gì,0
73,"Nhiệm vụ, quyền hạn của Trung tâm Gìn giữ hòa bình Việt Nam",Trung tâm gìn giữ hoà bình Việt nam có những nhiệm vụ và quyền gì,1
74,Thủ tục bổ nhiệm lại Thẩm phán cao cấp được tiến hành như thế nào?,Giấy tờ cần thiết trong việc bổ nhiệm lại thẩm phán cao cấp là gì,1
75,Thủ tục bổ nhiệm Thẩm phán sơ cấp được quy định như thế nào?,Giấy tờ cần thiết trong việc bổ nhiệm thẩm phán sơ cấp,1
76,Thủ tục bổ nhiệm Thẩm phán trung cấp được quy định như thế nào?,Giấy tờ cần thiết trong việc bổ nhiệm thẩm phán trung cấp,1
77,"Nhiệm vụ, quyền hạn của Trung tâm pháp y cấp tỉnh",Trung tâm pháp y cấp tỉnh là gì,0
78,Thù lao dịch vụ đấu giá tài sản,Phí dịch vụ đấu giá tài sản,1
79,Mục đích liên kết giáo dục quốc phòng và an ninh là gì?,Liên kết giáo dục quốc phòng an ninh nhằm mục đích gì,1
80,Dịch vụ thuê quầy làm thủ tục hành khách gồm những nội dung nào?,Thuê quầy làm thủ tục hành khách cần chú ý những gì,1
81,Giấy chứng minh Công an nhân dân là gì?,Giấy chứng minh công an nhân dân dùng vào mục đích  nào,0
82,Giấy chứng minh Công an nhân dân được cấp cho đối tượng nào?,Người nào không được cấp giấy chứng minh công an nhân dân,0
83,"Nhiệm vụ phòng đào tạo, quản lý sinh viên của trung tâm giáo dục quốc phòng và an ninh là gì?","Phòng đào tạo, quản lý sinh viên của trung tâm giáo dục quốc phòng và an ninh làm những gì?",1
84,"Thuốc phòng, chữa bệnh cho người là gì?","Khái niệm thuốc phòng, chữa bệnh cho người?",1
85,Thuốc thành phẩm là gì?,Khái niệm thuốc thành phẩm?,1
86,Nhà nước quản lý những nhóm giá thuốc nào?,Những nhóm giá thuốc nào được Nhà nước quản lý?,1
87,"Quản lý giá một số thuốc do Nhà nước đặt hàng, định giá được tiến hành như thế nào?","Quy trình quản lý giá thuốc do nhà nước đặt hàng, định giá là gì",1
88,Quản lý giá thuốc do cơ sở tự định giá được thực hiện như thế nào?,Quy trình thực hiện quản lý giá thuốc do cơ sở tự định giá là ,1
89,Đối tượng tham gia liên kết giáo dục quốc phòng và an ninh được quy định như thế nào?,Ai không được phép tham gia liên kết giáo dục quốc phòng an ninh,0
90,"Ai có thẩm quyền phê duyệt phương án cứu nạn, cứu hộ của lực lượng Cảnh sát phòng cháy, chữa cháy?","Người nào có quyền phê duyệt phương án cứu nạn, cứu hộ của lực lượng cảnh sát phòng cháy, chữa cháy",1
91,"Lực lượng nào sẽ thường trực sẵn sàng cứu nạn, cứu hộ?",Lực lượng nào đóng vai trò hậu cần trong cứu nạn cứu hộ,0
92,Trình tự thực hiện cấp mã số doanh nghiệp tự động được pháp luật quy định như thế nào?,Thủ tục cấp mã số doanh nghiệp tự động?,1
93,Việc đóng gói tiền mặt được quy định như thế nào?,Thủ tục đóng gói tiền mặt?,1
94,Việc niêm phong tiền mặt được quy định như thế nào?,Thủ tục niêm phong tiền mặt?,1
95,Việc giao nhận tiền mặt trong ngành Ngân hàng được quy định như thế nào?,Thủ tục giao nhận tiền mặt trong Ngân hàng?,1
96,Những dịch vụ hàng không nào do Nhà nước quy định mức giá?,Nhà nước quy định mức giá loại dịch vụ hàng không nào?,1
97,"Hồ sơ hải quan đối với xăng dầu, hóa chất, khí xuất khẩu, tái xuất bao gồm những gì?","Thủ tục hải quan đối với xăng dầu, hóa chất, khí xuất khẩu, tái xuất?",1
98,Trường hợp nào không được bố trí làm cán bộ quản lý kho quỹ ngân hàng?,Ai không được làm án bộ quản lý kho quỹ ngân hàng?,1
99,"Trường hợp nào được mở hộp chìa khóa dự phòng kho tiền, két sắt của ngân hàng?","Khi nào được phép mở hộp chìa khóa dự phòng kho tiền, két sắt của ngân hàng?",1
100,Đánh ghen mức nào thì bị xử lý hình sự?,Xử lý hình sự đối với hành vi đánh ghen như thế nào?,1
101,Quy định về phân loại nợ đối với Ngân hàng Phát triển,Phân loại nợ đối với Ngân hàng Phát triển như thế nào?,1
102,Cơ chế tự chủ tài chính của đơn vị sự nghiệp công là gì?,Quy định về cơ chế tự chủ tài chính của đơn vị sự nghiệp công,1
103,"Trình tự, thủ tục thực hiện để hỗ trợ người lao động ngừng việc do Covid-19",Hỗ trợ người lao động ngừng việc do Covid-19 được tiến hành như thế nào?,1
104,"Trình tự, thủ tục thực hiện để hỗ trợ người lao động ngừng việc do Covid-19","Đối tượng, điều kiện hỗ trợ cho người lao động ngừng việc do Covid-19",0
105,Cách xác định người có công giúp đỡ cách mạng,Tiêu chuẩn xác định người có công giúp đỡ cách mạng,1
106,Mã QR trên thẻ CCCD gắn chip có những thông tin gì?,Những thông tin chứa trong mã QR trên thẻ CCCD là gì?,1
107,Lựa chọn đất xây dựng khi quy hoạch xây dựng phải đảm bảo yêu cầu nào?, Khi quy hoạch xây dựng thì chọn đất phải đảm bảo điều gì?,1
108,"Quy trình, thủ tục, hồ sơ chi hỗ trợ nhân đạo từ Quỹ bảo hiểm xe cơ giới","Quy trình, thủ tục và hồ sơ chi trả hỗ trợ nhân đạo từ Quỹ bảo hiểm xe cơ giới",0
109,Cơ cấu tổ chức Hiệp hội Sáng tạo và Bản quyền tác giả Việt Nam?,Hiệp hội Sáng tạo và Bản quyền tác giả Việt Nam được tổ chức như thế nào?,1
110,Nội dung chi cho công tác thỏa thuận quốc tế mới nhất,Nội dung chi cho công tác điều ước quốc tế theo quy định mới,0
111,"Quy định về điều chỉnh cơ cấu vốn, tài sản của Ngân hàng Phát triển","Điều động vốn, tài sản của Ngân hàng phát triển được quy định như thế nào?",0
112,Kích thước bản sao y có bắt buộc bằng bản chính không?,quy định về bản chính và bản sao,1
113,Khi xảy ra tai nạn đường sắt thì phải làm gì?,Khi xảy ra tai nạn đường sắt thì có phải dừng tàu khẩn cấp không?,1
114,Viên chức thì có phải kê khai tài sản thu nhập hay không?,"quy định về người có nghĩa vụ kê khai tài sản, thu nhập",1
115,"Điều kiện, tiêu chuẩn để xác định là bệnh binh theo quy định mới?",Quy định về chế độ ưu đãi đối với bệnh binh mới nhất,0
116,Trách nhiệm giám sát dự án đầu tư sử dụng vốn nhà nước ngoài đầu tư công thuộc về ai?,Ai có trách nhiệm giám sát dự án đầu tư sử dụng vốn nhà nước ngoài đầu tư công,1
117,Bị phạt hành chính 18 triệu đồng có thể xin nộp phạt nhiều lần hay không?,Có thể xin nộp phạt nhiều lần khi bị phạt tài chính hay không?,1
118,"Tất cả sinh viên đang theo học đại học, cao đẳng sẽ được hỗ trợ vay vốn phải không?",Đối tượng sinh viên được hỗ trợ vay vốn?,1
119,Quy định về nội dung và mức chi thẩm định sách giáo khoa giáo dục phổ thông,Quy định về chi tổ chức họp thẩm định sách giáo khoa giáo dục phổ thông,0
120,Quy định về quy trình lập kế hoạch sử dụng đất kỳ đầu quốc gia,Quy trình lập kế hoạch sử dụng đất kỳ đầu quốc gia như thế nào?,1
121,Điều kiện để viên chức chuyên ngành Thông tin và Truyền thông thăng hạng chức danh nghề nghiệp từ hạng III lên hạng II?,Điều kiện để viên chức chuyên ngành Thông tin và Truyền thông thăng hạng chức danh nghề nghiệp hạng IV lên hạng III?,0
122,Yêu cầu đối với tin nhắn quảng cáo được quy định thế nào?, Tin nhắn quảng cáo phải đảm bảo những yêu cầu gì?,1
123,Mã số bảo hiểm y tế của một người có được giữ nguyên?,có quy định về cấu trúc mã thẻ BHYT,1
124,"Quy định về nhiệm vụ, quyền hạn của văn phòng Ủy ban nhân dân cấp tỉnh","Nhiệm vụ, quyền hạn của văn phòng Ủy ban nhân dân cấp tỉnh là gì?",1
125,Tổ chức bộ máy của Công an cấp tỉnh thì sẽ do người nào quy định?,Tổ chức bộ máy của Công an cấp tỉnh thì sẽ do ai quy định?,1
126,Có việc làm thì phải thông báo cho Trung tâm dịch vụ việc làm trong vòng bao nhiêu ngày?,Có việc làm thì có phải thông báo cho Trung tâm dịch vụ việc làm không?,1
127,Những chuyên ngành nào đủ điều kiện để được cấp Chứng chỉ định giá đất?,Để được chứng chỉ định giá đất phải có đủ các điều kiện gì?,1
128,Trên mặt có sẹo do tai nạn có phải đổi CCCD hay không?,Các trường hợp đổi thẻ Căn cước công dân?,1
129,Nhà chung cư nhiều chủ sở hữu thì mới phải lập Ban quản trị?,Quy định về Ban quản trị nhà chung cư,1
130,Đánh giá chương trình đầu tư công được thực hiện như thế nào?,Để đánh giá chương trình đầu tư công thì cần những gì?,1
131,Trách nhiệm Ủy ban nhân dân cấp huyện về chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội?,Trách nhiệm Ủy ban nhân dân cấp xã về chính sách trợ giúp xã hội đối với đối tượng bảo trợ xã hội?,0
132,Những sinh viên nào khi tốt nghiệp có thể được tuyển chọn đào tạo sĩ quan dự bị?, Sinh viên khi tốt nghiệp đại học phải đảm bảo các điều kiện gì để được tuyển chọn đào tạo sĩ quan dự bị?,1
133,Thời gian đào tạo sĩ quan dự bị đối với người vừa hoàn thành nghĩa vụ quân sự?,Người vừa hoàn thành nghĩa vụ quân sự được đào tạo sĩ quan dự bị trong bao lâu?,1
134,Những tiêu chí thành lập chi cục và các tổ chức tương đương thuộc sở,Thành lập chi cục và các tổ chức tương đương thuộc sở thì cần những tiêu chí nào?,1
135,Quyết định khởi tố vụ án hình sự thì có cần phải ghi điều bao nhiêu hay không?,Có cần ghi điều bao nhiêu khi quyết định khởi tố vụ án hình sự không? ,1
136,Hướng dẫn thủ tục đăng ký lấy biển số xe máy,Thủ tục đăng ký lấy biển số xe máy,1
137,Lưu giữ thông tin tín dụng được quy định như thế nào?,Xử lý thông tin tín dụng được quy định như thế nào?,0
138,Lưu giữ thông tin tín dụng được quy định như thế nào?,Quy định lưu giữ thông tin tín dụng,1
139,"Việc xây dựng, tích hợp phương án phát triển cụm công nghiệp vào quy hoạch tỉnh được quy định ra sao?","Xây dựng, tích hợp phương án phát triển cụm công nghiệp vào quy hoạch tỉnh được quy định như thế nào?",1
140,"Ai có thẩm quyền đánh giá, xếp loại chất lượng công chức?","Quy định về thẩm quyền đánh giá, xếp loại chất lượng công chức",1
141,Quyền và nghĩa vụ của công ty thông tin tín dụng quy định như thế nào?,Nghĩa vụ của công ty thông tin tín dụng được quy định như thế nào?,0
142,"Trình tự đánh giá, xếp loại chất lượng công chức là cấp phó","Để đánh giá, xếp loại chất lượng công chức là cấp phó thì làm như thế nào?",1
143,Cá nhân kinh doanh nộp thuế theo từng lần phát sinh có phải thực hiện chế độ kế toán hay không?,Quy định phương pháp tính thuế đối với cá nhân kinh doanh nộp thuế theo từng lần phát sinh,1
144,Hồ sơ khai thuế khi cá nhân cho thuê tài sản trực tiếp khai thuế với cơ quan thuế?,Quy định hồ sơ khai thuế đối với cá nhân cho thuê tài sản trực tiếp khai thuế với cơ quan thuế,1
145,Hơn 60 tuổi có quyền hiến tạng nữa hay không?,Thông tin về quyền hiến tạng,1
146,"Ai có thẩm quyền phê duyệt phương án phòng cháy, chữa cháy?"," Quy định về thẩm quyền phê duyệt phương án phòng cháy, chữa cháy ",1
147,Phải có bằng lái xe B2 mới được thi bằng C đúng không?,Có bắt buộc có bằng lái xe B2 thì mới được thì bằng C?,1
148,"Thời hạn vay để mua, thuê mua nhà ở xã hội là bao lâu?","Mức lãi suất vay để mua, thuê mua nhà ở xã hội là bao nhiêu?",0
149,Làm điều dưỡng ở phòng khám tư chuyên khoa da liễu thì có được cấp chứng chỉ hành nghề hay không?,Quy định điều dưỡng viên muốn được cấp chứng chỉ hành nghề,1
150,Công ty phải gửi báo cáo y tế lao động vào thời gian nào?,Thời gian gửi báo cáo y tế tuyến cơ sở là khi nào?,1
151,Cách xác định người trúng tuyển viên chức khi có 2 người cùng điểm thi ở chỉ tiêu cuối cùng,Quy định về cách xác định người trúng tuyển trong kỳ thi tuyển viên chức ,1
152,Chủ tịch Hội đồng tuyển dụng viên chức có bắt buộc là người đứng đầu đơn vị sự nghiệp công lập hay không?,Có nhất thiết chủ tịch Hội đồng tuyển dụng viên chức  là người đứng đầu đơn vị sự nghiệp công lập hay không?,1
153,Khi ký kết hợp đồng EPC các bên phải thỏa thuận những nội dung gì?,Những nội dung mà khi ký kết hợp đồng EPC các bên phải thỏa thuận?,1
154,"Định nghĩa về hợp đồng xây dựng đơn giản, quy mô nhỏ","Hợp đồng xây dựng đơn giản, quy mô nhỏ là gì?",1
155,"Chức trách, nhiệm vụ đối với ngạch Văn thư viên trung cấp là công chức chuyên ngành văn thư?","Chức trách, nhiệm vụ đối với ngạch Văn thư viên trung cấp là công chức chuyên là  ngành văn thư là gì?",1
156,Sản phẩm thông tin tín dụng là gì?,Như thế nào là sản phẩm thông tin tín dụng?,1
157,Nguyên tắc cung cấp sản phẩm thông tin tín dụng được quy định như thế nào?,Nguyên tắc sử dụng sản phẩm thông tin tín dụng được quy định như thế nào?,0
158,Phát hiện trẻ bị bỏ rơi tại bệnh viện thì cần phải làm gì?,Quy định việc đăng ký khai sinh cho trẻ bị bỏ rơi ,1
159,Phát hiện trẻ bị bỏ rơi tại bệnh viện thì cần phải làm gì?,Phát hiện trẻ bị bỏ rơi thì phải làm gì?,1
160,Cử nhân luật thì có được bảo vệ cho người khởi kiện ở trước tòa hay không?,Ai thì được bảo vệ cho người khởi kiện ở trước tòa?,1
161,Luật sư vắng mặt tại phiên tòa giám đốc thẩm thì sẽ bị hoãn?,Phiên tòa giám đốc thẩm có bị hoãn khi Luật sư vắng mặt không?,1
162,Danh hiệu “Chiến sỹ thi đua cơ sở” ngành BHXH bao gồm những tiêu chuẩn nào?,Những tiêu chuẩn của Danh hiệu “Chiến sỹ thi đua cơ sở” ngành BHXH là gì?,1
163,Chế độ đối với liệt sĩ theo quy định mới gồm những chế độ gì?,Những chế độ đối với liệt sĩ theo quy định mới?,1
164,Điều kiện áp dụng đối với thuế suất thuế xuất khẩu ưu đãi theo Hiệp định UKVFTA?,Thuế suất thuế xuất khẩu ưu đãi theo Hiệp định UKVFTA được áp dụng với điều kiện gì?,1
165,Điều kiện áp dụng đối với thuế suất thuế xuất khẩu ưu đãi theo Hiệp định UKVFTA?,Điều kiện áp dụng về thuế suất thuế nhập khẩu ưu đãi đặc biệt theo Hiệp định UKVFTA?,0
166,Hiểu thế nào về cuộc đấu giá bán cổ phần không thành công?,Cuộc đấu giá bán cổ phần không thành công là như thế nào?,1
167,Mức hỗ trợ mai táng phí cho người hiến bộ phận cơ thể người?,Mai táng phí cho người hiến bộ phận cơ thể người có được hỗ trợ không?,1
168,"Nguyên tắc chung của việc xây dựng, sửa chữa, cải tạo cầu qua sông có đê?","Việc xây dựng, sửa chữa, cải tạo cầu qua sông có đê có nguyên tắc gì?",1
169,Mỗi phạm nhân thì sẽ được đặc xá bao nhiêu lần?,Số lần đặc xá của mỗi phạm nhân?,1
170,Thẩm quyền xử phạt VPHC của Đội trưởng thuộc Chi cục Hải quan trong lĩnh vực văn hóa và quảng cáo,Thẩm quyền xử phạt VPHC của Chi cục trưởng Chi cục Hải quan trong lĩnh vực văn hóa và quảng cáo,0
171,Mức phụ cấp đối với đội cấp cứu 115 vận chuyển người bị cách ly y tế là bao nhiêu?,Quy định về chế độ phụ cấp chống dịch áp dụng với đội cấp cứu 115 vận chuyển người bị cách ly,1
172,Di chúc của công dân Việt Nam đang ở nước ngoài có giá trị trong các trường hợp nào?,Các trường hợp có giá trị của di chúc của công dân Việt Nam đang ở nước ngoài?,1
173,Thủ tục lập di chúc tại nhà riêng được thực hiện như thế nào?,Thủ tục lập di chúc tại nhà riêng,1
174,Bao nhiêu tuổi thì có thể lập di chúc?,Độ tuổi có thể lập di chúc là bao nhiêu,1
175,Nội dung của di chúc thì có được viết tắt hay không?,Viết tắt khi viết di chúc có được không?,1
176,Mức phạt đối với người chờ đèn đỏ ở khu vực bóng râm?,Chờ đèn đỏ ở khu vực bóng râm bị phạt bao nhiêu?,1
177,"Nhiệm vụ quốc phòng, an ninh là như thế nào?","Như thế nào là nhiệm vụ quốc phòng, an ninh",1
178,Quy định về các hình thức tổ chức thi đua trong ngành BHXH,"Quy định về căn cứ xét thi đua, khen thưởng trong ngành BHXH",0
